Institution,Spatial Jurisdiction (verbatim),Keywords Extracted (Cleaned & No Stopwords),Keyword Frequency,KWIC Evidence (keywords→snippet),Consolidated Meaningful Keywords,Keywords→Candidate Categories (pre-decision),Keywords→Category Map (flat),Consolidated Keywords→Category Trigger Map,Mapping Rationale (keyword→category + method),Ordinal Score (0–10),Methodological Notes
International Labour Organization (ILO),"ILO's authority is global, covering the labour standards and rights of its member states. This includes a focus on countries, territories and areas within the UN system, with authority reaching up to the national laws and policies of these states, respecting their sovereignty and diversity. The ILO also cooperates with regional and subregional organizations to promote decent work and social justice (https://www.ilo.org/wcmsp5/groups/public/---asia/---ro-bangkok/---ilo-hanoi/documents/publication/wcms_818973.pdf).
","ilo, authority, global, covering, labour, standards, rights, member, states, includes, focus, countries, territories, areas, system, authority, reaching, national, laws, policies, states, respecting, sovereignty, diversity, ilo, cooperates, regional, subregional, organizations, promote, decent, work, social, justice","{'ilo': 2, 'authority': 2, 'global': 1, 'covering': 1, 'labour': 1, 'standards': 1, 'rights': 1, 'member': 1, 'states': 2, 'includes': 1, 'focus': 1, 'countries': 1, 'territories': 1, 'areas': 1, 'system': 1, 'reaching': 1, 'national': 1, 'laws': 1, 'policies': 1, 'respecting': 1, 'sovereignty': 1, 'diversity': 1, 'cooperates': 1, 'regional': 1, 'subregional': 1, 'organizations': 1, 'promote': 1, 'decent': 1, 'work': 1, 'social': 1, 'justice': 1}",,"areas, authority, cooperates, countries, covering, decent, diversity, focus, global, ilo, includes, justice, labour, laws, member, national, organizations, policies, promote, reaching, regional, respecting, rights, social, sovereignty, standards, states, subregional, system, territories, work",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
 International Telecommunication Union (ITU),"ITU's geographical area is not confined to a specific ocean or region, but rather covers the whole world. This includes coordinating the global use of the radio spectrum, satellite orbits, and telecommunication standards,  based on the international treaties and agreements that its member states have ratified, as well as the ITU Constitution and Convention (https://www.itu.int/en/council/Documents/basic-texts/Constitution-E.pdf).","itu, geographical, area, not, confined, specific, ocean, region, but, rather, covers, whole, world, includes, coordinating, global, use, radio, spectrum, satellite, orbits, telecommunication, standards, based, international, treaties, agreements, member, states, ratified, well, itu, constitution, convention","{'itu': 2, 'geographical': 1, 'area': 1, 'not': 1, 'confined': 1, 'specific': 1, 'ocean': 1, 'region': 1, 'but': 1, 'rather': 1, 'covers': 1, 'whole': 1, 'world': 1, 'includes': 1, 'coordinating': 1, 'global': 1, 'use': 1, 'radio': 1, 'spectrum': 1, 'satellite': 1, 'orbits': 1, 'telecommunication': 1, 'standards': 1, 'based': 1, 'international': 1, 'treaties': 1, 'agreements': 1, 'member': 1, 'states': 1, 'ratified': 1, 'well': 1, 'constitution': 1, 'convention': 1}",,"agreements, area, based, but, confined, constitution, convention, coordinating, covers, geographical, global, includes, international, itu, member, not, ocean, orbits, radio, rather, ratified, region, satellite, specific, spectrum, standards, states, telecommunication, treaties, use, well, whole, world",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Children’s Fund (UNICEF) ,"UNICEF’s authority is global, covering over 190 countries and territories across all continents and oceans to uphold the rights of every child, regardless of their location, nationality, or situation. UNICEF has no specific distance or boundary within its jurisdiction, as it operates in accordance with the United Nations Charter and the Convention on the Rights of the Child (https://www.unicef.org/media/52626/file).","unicef, authority, global, covering, over, 190, countries, territories, all, continents, oceans, uphold, rights, every, child, regardless, location, nationality, situation, unicef, specific, distance, boundary, jurisdiction, operates, accordance, united, nations, charter, convention, rights, child","{'unicef': 2, 'authority': 1, 'global': 1, 'covering': 1, 'over': 1, '190': 1, 'countries': 1, 'territories': 1, 'all': 1, 'continents': 1, 'oceans': 1, 'uphold': 1, 'rights': 2, 'every': 1, 'child': 2, 'regardless': 1, 'location': 1, 'nationality': 1, 'situation': 1, 'specific': 1, 'distance': 1, 'boundary': 1, 'jurisdiction': 1, 'operates': 1, 'accordance': 1, 'united': 1, 'nations': 1, 'charter': 1, 'convention': 1}",,"190, accordance, all, authority, boundary, charter, child, continents, convention, countries, covering, distance, every, global, jurisdiction, location, nationality, nations, oceans, operates, over, regardless, rights, situation, specific, territories, unicef, united, uphold",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
World Health Organization (WHO) ,"WHO’s jurisdiction is global, encompassing the land and sea areas of its member states. This includes a focus on countries and regions within the six WHO regions, with authority extending to the whole territory of these states, covering key health issues and challenges (https://www.who.int/about/who-we-are/regional-offices).","who, jurisdiction, global, encompassing, land, sea, areas, member, states, includes, focus, countries, regions, six, who, regions, authority, extending, whole, territory, states, covering, key, health, issues, challenges","{'who': 2, 'jurisdiction': 1, 'global': 1, 'encompassing': 1, 'land': 1, 'sea': 1, 'areas': 1, 'member': 1, 'states': 2, 'includes': 1, 'focus': 1, 'countries': 1, 'regions': 2, 'six': 1, 'authority': 1, 'extending': 1, 'whole': 1, 'territory': 1, 'covering': 1, 'key': 1, 'health': 1, 'issues': 1, 'challenges': 1}",,"areas, authority, challenges, countries, covering, encompassing, extending, focus, global, health, includes, issues, jurisdiction, key, land, member, regions, sea, six, states, territory, who, whole",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)","OHCHR's authority is global, encompassing the human rights of all people in all countries and territories.  OHCHR's authority is not limited by any specific distance or boundary, but by the principles and standards of international human rights law (https://www.ohchr.org/en/about-us/high-commissioner).","ohchr, authority, global, encompassing, human, rights, all, people, all, countries, territories, ohchr, authority, not, limited, any, specific, distance, boundary, but, principles, standards, international, human, rights, law","{'ohchr': 2, 'authority': 2, 'global': 1, 'encompassing': 1, 'human': 2, 'rights': 2, 'all': 2, 'people': 1, 'countries': 1, 'territories': 1, 'not': 1, 'limited': 1, 'any': 1, 'specific': 1, 'distance': 1, 'boundary': 1, 'but': 1, 'principles': 1, 'standards': 1, 'international': 1, 'law': 1}",,"all, any, authority, boundary, but, countries, distance, encompassing, global, human, international, law, limited, not, ohchr, people, principles, rights, specific, standards, territories",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Office for Disaster Risk Reduction (UNDRR),"UNDRR's jurisdiction is global, covering all regions and countries that are exposed to disaster risk and losses (https://www.undrr.org/about-undrr/where-we-work). This includes a focus on least developed countries and small island developing states, with authority reaching up to the low water mark of these states, covering key coastal and inland areas and communities (https://www.undrr.org/disaster-risk-reduction-least-developed-countries).","undrr, jurisdiction, global, covering, all, regions, countries, exposed, disaster, risk, losses, includes, focus, least, developed, countries, small, island, developing, states, authority, reaching, low, water, mark, states, covering, key, coastal, inland, areas, communities","{'undrr': 1, 'jurisdiction': 1, 'global': 1, 'covering': 2, 'all': 1, 'regions': 1, 'countries': 2, 'exposed': 1, 'disaster': 1, 'risk': 1, 'losses': 1, 'includes': 1, 'focus': 1, 'least': 1, 'developed': 1, 'small': 1, 'island': 1, 'developing': 1, 'states': 2, 'authority': 1, 'reaching': 1, 'low': 1, 'water': 1, 'mark': 1, 'key': 1, 'coastal': 1, 'inland': 1, 'areas': 1, 'communities': 1}",,"all, areas, authority, coastal, communities, countries, covering, developed, developing, disaster, exposed, focus, global, includes, inland, island, jurisdiction, key, least, losses, low, mark, reaching, regions, risk, small, states, undrr, water",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
UN Global Compact Office,"The UN Global Compact's authority is global, covering all ocean spaces and maritime zones, as well as the adjacent coastal areas and inland waters of its signatory states (https://documents-dds-ny.un.org/doc/UNDOC/GEN/N18/463/65/PDF/N1846365.pdf?OpenElement). ","global, compact, authority, global, covering, all, ocean, spaces, maritime, zones, well, adjacent, coastal, areas, inland, waters, signatory, states","{'global': 2, 'compact': 1, 'authority': 1, 'covering': 1, 'all': 1, 'ocean': 1, 'spaces': 1, 'maritime': 1, 'zones': 1, 'well': 1, 'adjacent': 1, 'coastal': 1, 'areas': 1, 'inland': 1, 'waters': 1, 'signatory': 1, 'states': 1}",inland waters: well as the adjacent coastal areas and **inland waters** of its signatory states (https://docume,"adjacent, all, areas, authority, coastal, compact, covering, global, inland, maritime, ocean, signatory, spaces, states, waters, well, zones",['Internal Waters (IW)'],Internal Waters (IW),{'Internal Waters (IW)': ['inland waters']},Internal Waters (IW): matched inland waters (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
International Atomic Energy Agency (IAEA),"The IAEA's authority is global, encompassing the nuclear activities and facilities of its member states (https://www.iaea.org/about/governance/list-of-member-states). This includes a focus on states that have signed the Treaty on the Non-Proliferation of Nuclear Weapons (NPT), with authority extending to all peaceful and military nuclear activities, materials, and equipment within these states, covering key nuclear safety and security issues (https://treaties.unoda.org/t/npt/participants).","iaea, authority, global, encompassing, nuclear, activities, facilities, member, states, includes, focus, states, signed, treaty, non, proliferation, nuclear, weapons, npt, authority, extending, all, peaceful, military, nuclear, activities, materials, equipment, states, covering, key, nuclear, safety, security, issues","{'iaea': 1, 'authority': 2, 'global': 1, 'encompassing': 1, 'nuclear': 4, 'activities': 2, 'facilities': 1, 'member': 1, 'states': 3, 'includes': 1, 'focus': 1, 'signed': 1, 'treaty': 1, 'non': 1, 'proliferation': 1, 'weapons': 1, 'npt': 1, 'extending': 1, 'all': 1, 'peaceful': 1, 'military': 1, 'materials': 1, 'equipment': 1, 'covering': 1, 'key': 1, 'safety': 1, 'security': 1, 'issues': 1}",,"activities, all, authority, covering, encompassing, equipment, extending, facilities, focus, global, iaea, includes, issues, key, materials, member, military, non, npt, nuclear, peaceful, proliferation, safety, security, signed, states, treaty, weapons",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
World Meteorological Organization (WMO),"WMO's jurisdiction is global, encompassing the weather, climate, and water resources of its member states and territories. WMO's authority covers the atmospheric, oceanic, and terrestrial domains, as well as the interfaces between them, with the aim of providing scientific information and services to protect life and property (https://wmo.int/about-wmo/overview).","wmo, jurisdiction, global, encompassing, weather, climate, water, resources, member, states, territories, wmo, authority, covers, atmospheric, oceanic, terrestrial, domains, well, interfaces, between, them, aim, providing, scientific, information, services, protect, life, property","{'wmo': 2, 'jurisdiction': 1, 'global': 1, 'encompassing': 1, 'weather': 1, 'climate': 1, 'water': 1, 'resources': 1, 'member': 1, 'states': 1, 'territories': 1, 'authority': 1, 'covers': 1, 'atmospheric': 1, 'oceanic': 1, 'terrestrial': 1, 'domains': 1, 'well': 1, 'interfaces': 1, 'between': 1, 'them': 1, 'aim': 1, 'providing': 1, 'scientific': 1, 'information': 1, 'services': 1, 'protect': 1, 'life': 1, 'property': 1}",,"aim, atmospheric, authority, between, climate, covers, domains, encompassing, global, information, interfaces, jurisdiction, life, member, oceanic, property, protect, providing, resources, scientific, services, states, terrestrial, territories, them, water, weather, well, wmo",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
Organisation for Economic Co-operation and Development (OECD),"The OECD's jurisdiction is global, encompassing the economic zones of its 38 member countries (https://www.oecd.org/newsroom/oecd-welcomes-costa-rica-as-its-38th-member.htm#:~:text=The%20OECD's%2038%20members%20are,Norway%2C%20Poland%2C%20Portugal%2C%20Slovak). The OECD does not have specific authority over maritime zones or territorial waters, but rather, its influence is primarily on key global issues at national, regional and local levels (https://www.oecd.org/about/members-and-partners/).","oecd, jurisdiction, global, encompassing, economic, zones, member, countries, oecd, does, not, specific, authority, over, maritime, zones, territorial, waters, but, rather, influence, primarily, key, global, issues, national, regional, local, levels","{'oecd': 2, 'jurisdiction': 1, 'global': 2, 'encompassing': 1, 'economic': 1, 'zones': 2, 'member': 1, 'countries': 1, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'over': 1, 'maritime': 1, 'territorial': 1, 'waters': 1, 'but': 1, 'rather': 1, 'influence': 1, 'primarily': 1, 'key': 1, 'issues': 1, 'national': 1, 'regional': 1, 'local': 1, 'levels': 1}","territorial waters: ecific authority over maritime zones or **territorial waters**, but rather, its influence is primarily","authority, but, countries, does, economic, encompassing, global, influence, issues, jurisdiction, key, levels, local, maritime, member, national, not, oecd, over, primarily, rather, regional, specific, territorial, waters, zones",['Territorial Sea (TS)'],Territorial Sea (TS),{'Territorial Sea (TS)': ['territorial waters']},Territorial Sea (TS): matched territorial waters (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
 World Bank Group (WBG) ,"The WBG does not have specific authority over maritime zones or territorial waters but rather covers economic and political regions such as Africa, East Asia and Pacific, Europe and Central Asia, Latin America and the Caribbean, Middle East and North Africa, and South Asia with activities and presence in more than 189 member countries (https://www.worldbank.org/en/where-we-work). The WBG's regional presence is determined by its borrowing and non-borrowing member countries, and by its strategic priorities for development in each region and sector (https://documents1.worldbank.org/curated/en/896931468189267370/pdf/The-World-Bank-Group-A-to-Z-2016.pdf).","wbg, does, not, specific, authority, over, maritime, zones, territorial, waters, but, rather, covers, economic, political, regions, africa, east, asia, pacific, europe, central, asia, latin, america, caribbean, middle, east, north, africa, south, asia, activities, presence, more, than, 189, member, countries, wbg, regional, presence, determined, borrowing, non, borrowing, member, countries, strategic, priorities, development, each, region, sector","{'wbg': 2, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'over': 1, 'maritime': 1, 'zones': 1, 'territorial': 1, 'waters': 1, 'but': 1, 'rather': 1, 'covers': 1, 'economic': 1, 'political': 1, 'regions': 1, 'africa': 2, 'east': 2, 'asia': 3, 'pacific': 1, 'europe': 1, 'central': 1, 'latin': 1, 'america': 1, 'caribbean': 1, 'middle': 1, 'north': 1, 'south': 1, 'activities': 1, 'presence': 2, 'more': 1, 'than': 1, '189': 1, 'member': 2, 'countries': 2, 'regional': 1, 'determined': 1, 'borrowing': 2, 'non': 1, 'strategic': 1, 'priorities': 1, 'development': 1, 'each': 1, 'region': 1, 'sector': 1}",territorial waters: ecific authority over maritime zones or **territorial waters** but rather covers economic and politica,"189, activities, africa, america, asia, authority, borrowing, but, caribbean, central, countries, covers, determined, development, does, each, east, economic, europe, latin, maritime, member, middle, more, non, north, not, over, pacific, political, presence, priorities, rather, region, regional, regions, sector, south, specific, strategic, territorial, than, waters, wbg, zones",['Territorial Sea (TS)'],Territorial Sea (TS),{'Territorial Sea (TS)': ['territorial waters']},Territorial Sea (TS): matched territorial waters (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
International Monetary Fund (IMF),"The IMF does not have specific authority over maritime zones or territorial waters but rather covers global economic and political zones with 190 member countries and six regional offices through which it coordinates its activities (https://www.imf.org/en/About). Regional coverage of IMF's activities is guided by economic outlook reports which discuss recent economic developments and prospects for countries in different regions, as well as policy challenges and recommendations (https://www.imf.org/en/publications/reo). ","imf, does, not, specific, authority, over, maritime, zones, territorial, waters, but, rather, covers, global, economic, political, zones, 190, member, countries, six, regional, offices, coordinates, activities, regional, coverage, imf, activities, guided, economic, outlook, reports, discuss, recent, economic, developments, prospects, countries, different, regions, well, policy, challenges, recommendations","{'imf': 2, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'over': 1, 'maritime': 1, 'zones': 2, 'territorial': 1, 'waters': 1, 'but': 1, 'rather': 1, 'covers': 1, 'global': 1, 'economic': 3, 'political': 1, '190': 1, 'member': 1, 'countries': 2, 'six': 1, 'regional': 2, 'offices': 1, 'coordinates': 1, 'activities': 2, 'coverage': 1, 'guided': 1, 'outlook': 1, 'reports': 1, 'discuss': 1, 'recent': 1, 'developments': 1, 'prospects': 1, 'different': 1, 'regions': 1, 'well': 1, 'policy': 1, 'challenges': 1, 'recommendations': 1}",territorial waters: ecific authority over maritime zones or **territorial waters** but rather covers global economic and p,"190, activities, authority, but, challenges, coordinates, countries, coverage, covers, developments, different, discuss, does, economic, global, guided, imf, maritime, member, not, offices, outlook, over, policy, political, prospects, rather, recent, recommendations, regional, regions, reports, six, specific, territorial, waters, well, zones",['Territorial Sea (TS)'],Territorial Sea (TS),{'Territorial Sea (TS)': ['territorial waters']},Territorial Sea (TS): matched territorial waters (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
International Hydrographic Organization (IHO) ,"IHO’s global jurisdiction represents the hydrographic interests of its 99 member states. IHO’s authority covers all the world’s seas, oceans and navigable waters, including the exclusive economic zones (EEZs), territorial seas, continental shelves, and inland waters of its members, as well as the international boundaries and limits of these zones. IHO’s jurisdiction extends from the coastlines' low water mark to the marine environment's outermost reaches (https://iho.int/uploads/user/pubs/misc/M1_Separatedocs/Convention_new_EN.pdf).","iho, global, jurisdiction, represents, hydrographic, interests, member, states, iho, authority, covers, all, world, seas, oceans, navigable, waters, exclusive, economic, zones, eezs, territorial, seas, continental, shelves, inland, waters, members, well, international, boundaries, limits, zones, iho, jurisdiction, extends, coastlines, low, water, mark, marine, environment, outermost, reaches","{'iho': 3, 'global': 1, 'jurisdiction': 2, 'represents': 1, 'hydrographic': 1, 'interests': 1, 'member': 1, 'states': 1, 'authority': 1, 'covers': 1, 'all': 1, 'world': 1, 'seas': 2, 'oceans': 1, 'navigable': 1, 'waters': 2, 'exclusive': 1, 'economic': 1, 'zones': 2, 'eezs': 1, 'territorial': 1, 'continental': 1, 'shelves': 1, 'inland': 1, 'members': 1, 'well': 1, 'international': 1, 'boundaries': 1, 'limits': 1, 'extends': 1, 'coastlines': 1, 'low': 1, 'water': 1, 'mark': 1, 'marine': 1, 'environment': 1, 'outermost': 1, 'reaches': 1}","inland waters: ritorial seas, continental shelves, and **inland waters** of its members, as well as the internat; coastline: es. IHO’s jurisdiction extends from the **coastline**s' low water mark to the marine environm; territorial sea: ng the exclusive economic zones (EEZs), **territorial sea**s, continental shelves, and inland water; exclusive economic zone: ans and navigable waters, including the **exclusive economic zone**s (EEZs), territorial seas, continental; eez: including the exclusive economic zones (**EEZ**s), territorial seas, continental shelve","all, authority, boundaries, coastlines, continental, covers, economic, eezs, environment, exclusive, extends, global, hydrographic, iho, inland, interests, international, jurisdiction, limits, low, marine, mark, member, members, navigable, oceans, outermost, reaches, represents, seas, shelves, states, territorial, water, waters, well, world, zones","['Internal Waters (IW)', 'Coastal Zone', 'Territorial Sea (TS)', 'Exclusive Economic Zone (EEZ)']",Internal Waters (IW); Coastal Zone; Territorial Sea (TS); Exclusive Economic Zone (EEZ),"{'Internal Waters (IW)': ['inland waters'], 'Coastal Zone': ['coastline'], 'Territorial Sea (TS)': ['territorial sea'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone', 'eez']}","Internal Waters (IW): matched inland waters (string match + KWIC) | Coastal Zone: matched coastline (string match + KWIC) | Territorial Sea (TS): matched territorial sea (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone, eez (string match + KWIC)",4,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
 International Council for the Exploration of the Sea (ICES),"The International Council for the Exploration of the Sea (ICES) has a broad area of competence, primarily focusing on the Atlantic Ocean and its adjacent seas, with an emphasis on the North Atlantic (https://www.ices.dk/about-ICES/who-we-are/Documents/ICES_Convention_1964.pdf). While the exact delimitation of this area is not precisely defined, ICES's work has great relevance to all oceans, including areas beyond national jurisdiction (ABNJ) (https://www.un.org/bbnj/sites/www.un.org.bbnj/files/ices3.pdf). This suggests that ICES's authority may extend to the exclusive economic zones (EEZs) and territorial waters of its 20 member countries (https://meetings.pices.int/Publications/Presentations/PICES-2021/ICES-2021.pdf), covering key marine habitats and migratory routes.","international, council, exploration, sea, ices, broad, area, competence, primarily, focusing, atlantic, ocean, adjacent, seas, emphasis, north, atlantic, while, exact, delimitation, area, not, precisely, defined, ices, work, great, relevance, all, oceans, areas, beyond, national, jurisdiction, abnj, suggests, ices, authority, extend, exclusive, economic, zones, eezs, territorial, waters, member, countries, covering, key, marine, habitats, migratory, routes","{'international': 1, 'council': 1, 'exploration': 1, 'sea': 1, 'ices': 3, 'broad': 1, 'area': 2, 'competence': 1, 'primarily': 1, 'focusing': 1, 'atlantic': 2, 'ocean': 1, 'adjacent': 1, 'seas': 1, 'emphasis': 1, 'north': 1, 'while': 1, 'exact': 1, 'delimitation': 1, 'not': 1, 'precisely': 1, 'defined': 1, 'work': 1, 'great': 1, 'relevance': 1, 'all': 1, 'oceans': 1, 'areas': 1, 'beyond': 1, 'national': 1, 'jurisdiction': 1, 'abnj': 1, 'suggests': 1, 'authority': 1, 'extend': 1, 'exclusive': 1, 'economic': 1, 'zones': 1, 'eezs': 1, 'territorial': 1, 'waters': 1, 'member': 1, 'countries': 1, 'covering': 1, 'key': 1, 'marine': 1, 'habitats': 1, 'migratory': 1, 'routes': 1}",territorial waters: the exclusive economic zones (EEZs) and **territorial waters** of its 20 member countries (https://mee; exclusive economic zone: that ICES's authority may extend to the **exclusive economic zone**s (EEZs) and territorial waters of its 2; eez: extend to the exclusive economic zones (**EEZ**s) and territorial waters of its 20 memb; abnj: ing areas beyond national jurisdiction (**ABNJ**) (https://www.un.org/bbnj/sites/www.un.,"abnj, adjacent, all, area, areas, atlantic, authority, beyond, broad, competence, council, countries, covering, defined, delimitation, economic, eezs, emphasis, exact, exclusive, exploration, extend, focusing, great, habitats, ices, international, jurisdiction, key, marine, member, migratory, national, north, not, ocean, oceans, precisely, primarily, relevance, routes, sea, seas, suggests, territorial, waters, while, work, zones","['Territorial Sea (TS)', 'Exclusive Economic Zone (EEZ)', 'The Area']",Territorial Sea (TS); Exclusive Economic Zone (EEZ); The Area,"{'Territorial Sea (TS)': ['territorial waters'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone', 'eez'], 'The Area': ['abnj']}","Territorial Sea (TS): matched territorial waters (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone, eez (string match + KWIC) | The Area: matched abnj (string match + KWIC)",3,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),"Although no specific spatial coverage stated, the jurisdiction of IPBES covers global terrestrial, freshwater, coastal, and marine biodiversity, ecosystem functions, and ecosystem services through its periodic assessments of the state of biodiversity and ecosystem services worldwide (https://www.ipbes.net/regional-assessments), performing regular and timely assessments at regional and subregional levels. In 2015, IPBES launched four regional assessments for Africa, the Americas, Asia Pacific, and Europe and Central Asia (https://www.ipbes.net/regional-assessments).","although, specific, spatial, coverage, stated, jurisdiction, ipbes, covers, global, terrestrial, freshwater, coastal, marine, biodiversity, ecosystem, functions, ecosystem, services, periodic, assessments, state, biodiversity, ecosystem, services, worldwide, performing, regular, timely, assessments, regional, subregional, levels, 2015, ipbes, launched, four, regional, assessments, africa, americas, asia, pacific, europe, central, asia","{'although': 1, 'specific': 1, 'spatial': 1, 'coverage': 1, 'stated': 1, 'jurisdiction': 1, 'ipbes': 2, 'covers': 1, 'global': 1, 'terrestrial': 1, 'freshwater': 1, 'coastal': 1, 'marine': 1, 'biodiversity': 2, 'ecosystem': 3, 'functions': 1, 'services': 2, 'periodic': 1, 'assessments': 3, 'state': 1, 'worldwide': 1, 'performing': 1, 'regular': 1, 'timely': 1, 'regional': 2, 'subregional': 1, 'levels': 1, '2015': 1, 'launched': 1, 'four': 1, 'africa': 1, 'americas': 1, 'asia': 2, 'pacific': 1, 'europe': 1, 'central': 1}",,"2015, africa, although, americas, asia, assessments, biodiversity, central, coastal, coverage, covers, ecosystem, europe, four, freshwater, functions, global, ipbes, jurisdiction, launched, levels, marine, pacific, performing, periodic, regional, regular, services, spatial, specific, state, stated, subregional, terrestrial, timely, worldwide",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
